first_name,last_name,email,phone,date_of_birth,annual_income,net_worth,onboarding_date,country_id,risk_profile_id
Tara,Davis,acollins@example.org,3601508406,1981-09-15,8739441,107227192,2026-01-29,21,3
Aaron,Schwartz,thomascharles@example.com,6420060732,1965-11-12,7375260,145460739,2021-09-29,14,3
David,Smith,alex41@example.net,7367493044,1957-12-08,14255703,82175693,2019-08-13,21,2
Louis,Kirby,allentracie@example.net,0438171194,1988-08-12,15224965,152106658,2021-04-13,14,3
Tiffany,Butler,pearsonelizabeth@example.org,6099370436,1964-05-21,7085387,23337024,2021-12-22,17,3
Lauren,Fuller,kingstacy@example.net,5805533048,1955-06-27,8764118,101177788,2021-07-05,12,3
David,Gonzalez,anthony03@example.com,8925287979,2001-05-24,25599273,52675357,2022-10-22,21,3
Stephanie,Nolan,belinda03@example.org,6920904729,1975-10-16,11564934,90578637,2021-08-30,13,2
Patricia,Mccoy,joshuasnow@example.com,3499684263,1965-12-30,7237609,32543309,2019-09-26,14,1
Monica,Chapman,zachary08@example.net,6419481429,1955-06-19,16786259,161664738,2019-11-01,18,3
Paul,Barnes,brittney42@example.net,0913157153,1996-02-12,13067091,139930539,2020-06-05,14,4
David,Hernandez,marciathomas@example.net,2745525419,1987-02-12,11757499,181149573,2026-05-17,17,4
Bruce,Porter,martinallen@example.com,7399786098,1958-02-09,11388492,36913118,2023-04-12,17,3
James,Harris,lisa01@example.com,5001991763,1994-07-22,10298663,190427223,2020-05-14,13,2
Aaron,Hall,glennroach@example.com,4671120017,1963-01-24,5179262,43549327,2022-08-09,14,4
Natalie,Anderson,stephenstevens@example.net,0757464870,1973-11-06,7172436,75725587,2024-04-14,20,3
Ashley,Moran,gravesthomas@example.com,3891541236,1957-10-01,7650167,49758809,2024-03-21,20,1
Scott,Price,schroedersusan@example.net,5657123975,1999-11-27,10597024,149645642,2024-09-21,21,2
Jennifer,Gonzales,adamhampton@example.net,6821950078,1965-02-05,5023283,96343988,2019-08-06,16,3
Jerry,Jackson,blanchardjessica@example.net,6790508727,1999-03-24,38940200,617281344,2026-02-15,12,1
Kathy,Davis,micheal77@example.net,8488465469,1988-12-17,16487657,185311784,2022-11-17,21,4
William,Nichols,qmurillo@example.com,0668565527,1982-01-27,24646084,280005107,2022-04-17,18,3
Veronica,Fox,jamesbrad@example.net,4822664428,1995-09-29,16741321,37331505,2022-03-14,15,2
Sharon,Sherman,unelson@example.com,4019675819,1966-06-12,15878823,273151656,2021-02-19,17,3
Alexandria,Villanueva,nicolebrown@example.com,3181825908,1971-12-04,15816135,232195690,2025-04-30,14,3
Jeremy,Alexander,matthewscott@example.com,8201283860,1977-07-05,4170705,48883920,2025-07-18,12,4
Dana,Johnson,xstone@example.net,5782433093,1982-03-02,7604526,106866122,2023-12-03,12,1
Nathan,Torres,hunter45@example.org,6030744907,1951-02-16,15143167,213746129,2023-07-28,13,4
Allen,Roberts,wobrien@example.com,5715950952,1989-10-17,7031167,132025510,2021-11-22,14,1
Michelle,Ellis,sholloway@example.net,4006280725,1975-05-20,9266760,33728013,2025-03-28,18,1
Pamela,Lee,donna41@example.org,7786030581,1961-12-03,9241261,170775056,2024-11-23,19,2
Gina,Higgins,hshea@example.org,0506773424,1951-06-24,21526980,328359035,2020-03-30,13,1
Carolyn,Turner,coledonald@example.net,3431908705,1993-08-11,13742063,141023511,2020-08-25,19,1
Phillip,Ward,greenetaylor@example.net,2630344692,1950-08-25,14998323,294355888,2021-01-22,15,1
Alyssa,Ferguson,matthew28@example.org,3358058687,1967-10-13,12229547,68291488,2022-12-21,14,4
David,Mendez,wesleynguyen@example.net,5993718677,1980-05-26,9614047,159183849,2023-06-14,17,4
Tammie,Nichols,greenejordan@example.net,5343163793,1986-08-07,26874489,108230716,2021-08-03,13,3
Mark,Morrison,uhart@example.com,2385098801,1969-07-30,18889127,113250901,2025-08-20,21,2
Amy,King,sharonjones@example.org,0873863684,2002-09-16,10194798,122664910,2024-09-27,15,4
Kathryn,Estes,harringtonstacy@example.com,6584836210,1987-02-27,14200526,89524974,2019-10-19,12,1
Beth,Sparks,lisa55@example.net,5398704616,1991-06-03,20091645,245556865,2024-01-10,18,1
Nichole,Huffman,katiejones@example.org,6577875295,1956-11-05,15356922,42621032,2022-06-26,21,3
Sandra,Cooper,franklindouglas@example.net,8589901433,1988-03-16,4771338,64794979,2021-05-17,20,1
Lori,Walker,matthew43@example.com,0366416435,1959-03-05,20057153,126780698,2025-07-09,16,2
Maurice,Allen,mathewssharon@example.net,6074161461,1982-02-09,8644773,168158376,2023-05-26,20,4
Joshua,Romero,myoung@example.com,4453873205,1952-04-10,9485578,35919793,2022-10-20,17,1
Edward,Smith,harveythomas@example.net,6938576811,1961-02-21,10248052,25086308,2023-06-23,16,4
Roger,Eaton,zdavis@example.net,2970915075,2002-10-12,6353447,28730755,2022-07-16,14,4
Ricky,Powell,myersmarcus@example.org,6653085064,1976-05-21,10543094,32223905,2023-08-08,20,2
Heather,Wilkinson,stephaniehayes@example.org,6545799969,1982-06-26,12732588,222701384,2020-06-27,21,2
Cindy,Lynch,smithfred@example.org,8108601657,1995-06-21,4506999,60319794,2019-10-05,21,4
Patricia,Anderson,dmurray@example.org,4766392229,1958-05-17,28893616,256482443,2024-12-10,12,4
Jason,Johnson,tranalyssa@example.com,3741223090,2002-02-15,8730259,80112108,2022-09-14,13,4
Lawrence,Bowen,xchapman@example.com,8381379041,1978-05-15,37013788,540598409,2020-03-09,16,3
Jessica,Lozano,christian20@example.org,7794506175,1974-05-11,5912202,57399811,2023-11-08,13,4
David,Pope,kbrown@example.net,2514574089,1951-09-03,9033442,139642695,2021-09-19,14,1
Ashley,Smith,peter02@example.org,0602760060,1956-10-01,5794681,54486506,2024-06-14,14,1
Lacey,Miller,thomasosborne@example.com,8575797253,1999-06-06,8208363,127250222,2023-09-03,14,3
Jacqueline,Abbott,ggonzales@example.com,7630175521,1989-12-25,35224363,176561433,2024-12-01,14,3
Ashley,Barron,sharonmcpherson@example.net,1482149809,1953-02-18,6260353,26168722,2022-01-06,12,3
Tanya,Pena,gmora@example.net,5735910772,1958-11-03,11190584,215262639,2025-03-11,12,3
Danielle,Brooks,jenniferhernandez@example.com,9351974594,1989-08-24,16842960,56162420,2025-04-08,19,2
Stephanie,Williams,thompsonsamantha@example.org,6121463395,1987-03-02,33201447,412805154,2024-05-16,13,1
Matthew,Williams,lwilson@example.net,7470117990,1986-12-12,5361274,83261494,2023-10-03,21,3
Ashley,Herrera,pmorgan@example.org,8110806521,2003-06-06,16641851,228842816,2026-05-21,19,4
Bridget,Guzman,vbarnes@example.com,9283313904,1987-09-18,11459763,28256808,2021-12-16,17,3
Harold,Gonzales,gpalmer@example.net,8049481067,1960-01-01,9012263,111634139,2023-03-23,14,3
Robin,Ross,brendan89@example.org,5577149920,2003-05-06,12023979,220282807,2020-11-27,18,4
Evan,Edwards,mike48@example.com,1527501126,2003-06-22,5750067,71767429,2022-09-28,17,4
Marissa,Peterson,williamsmith@example.com,3010161839,1987-01-06,7905382,77798460,2022-06-29,14,4
Timothy,Williams,qmiller@example.net,0969563597,1981-11-16,40723134,114870264,2023-01-27,21,2
Ralph,Hensley,ann12@example.org,7938099914,1964-05-18,13820346,178942949,2020-10-23,21,1
Michelle,Lewis,krameremily@example.com,5053165481,1975-01-31,8336639,34246320,2023-02-17,14,3
